Date,Open,High,Low,Close,Volume
2019-09-15,10356.4658203125,10387.03515625,10313.0927734375,10347.712890625,12043433567
2019-09-16,10347.22265625,10386.8671875,10189.744140625,10276.7939453125,15160167779
2019-09-17,10281.513671875,10296.771484375,10199.7392578125,10241.2724609375,15304603363
2019-09-18,10247.7958984375,10275.9287109375,10191.4697265625,10198.248046875,16169268880
2019-09-19,10200.49609375,10295.6689453125,9851.6923828125,10266.4150390625,19937691247
2019-09-20,10266.318359375,10285.8720703125,10132.1865234375,10181.6416015625,14734189639
2019-09-21,10183.6484375,10188.09765625,10000.7080078125,10019.716796875,13425266806
2019-09-22,10024.115234375,10074.4443359375,9922.533203125,10070.392578125,13199651698
2019-09-23,10067.962890625,10074.23828125,9727.1435546875,9729.32421875,15144925408
2019-09-24,9729.3212890625,9804.3173828125,8370.8017578125,8620.56640625,25002886689
2019-09-25,8603.4287109375,8744.828125,8325.396484375,8486.9931640625,21744728353
2019-09-26,8487.669921875,8515.685546875,7895.62939453125,8118.9677734375,19258205289
2019-09-27,8113.10107421875,8271.5205078125,7965.9228515625,8251.845703125,16408941156
2019-09-28,8251.2734375,8285.6171875,8125.431640625,8245.9150390625,14141152736
2019-09-29,8246.037109375,8261.70703125,7990.4970703125,8104.185546875,13034629109
2019-09-30,8104.2265625,8314.2314453125,7830.7587890625,8293.8681640625,17115474183
2019-10-01,8299.720703125,8497.6923828125,8232.6796875,8343.2763671875,15305343413
2019-10-02,8344.212890625,8393.0419921875,8227.6953125,8393.0419921875,13125712443
2019-10-03,8390.7744140625,8414.2275390625,8146.43701171875,8259.9921875,13668823409
2019-10-04,8259.494140625,8260.0556640625,8151.23681640625,8205.939453125,13139456229
2019-10-05,8210.1494140625,8215.5263671875,8071.12060546875,8151.50048828125,12200497197
2019-10-06,8149.876953125,8161.41015625,7958.8505859375,7988.15576171875,13160830305
2019-10-07,7989.12060546875,8308.4501953125,7905.76611328125,8245.623046875,18009742607
2019-10-08,8246.849609375,8332.71484375,8185.76318359375,8228.783203125,15592264032
2019-10-09,8229.8408203125,8627.7060546875,8169.298828125,8595.740234375,19384942333
2019-10-10,8585.2802734375,8625.2724609375,8471.93359375,8586.4736328125,17618660671
2019-10-11,8585.2626953125,8721.7802734375,8316.181640625,8321.7568359375,19604381101
2019-10-12,8315.6650390625,8415.2421875,8313.3408203125,8336.5556640625,14532641605
2019-10-13,8336.90234375,8470.98828125,8276.6123046875,8321.005859375,13808286059
2019-10-14,8320.83203125,8390.208984375,8284.130859375,8374.6865234375,15151387859
2019-10-15,8373.4580078125,8410.71484375,8182.70654296875,8205.369140625,15220412632
2019-10-16,8204.6748046875,8216.8125,7985.08984375,8047.52685546875,16071646996
2019-10-17,8047.8125,8134.83154296875,8000.94287109375,8103.9111328125,14313052244
2019-10-18,8100.93359375,8138.41357421875,7902.1640625,7973.20751953125,15651592610
2019-10-19,7973.8037109375,8082.62939453125,7944.77685546875,7988.560546875,13797825640
2019-10-20,7997.80712890625,8281.818359375,7949.439453125,8222.078125,15504249442
2019-10-21,8225.115234375,8296.6943359375,8196.416015625,8243.720703125,15868748866
2019-10-22,8243.40234375,8296.6513671875,8074.462890625,8078.203125,16803377857
2019-10-23,8076.228515625,8092.99951171875,7469.32275390625,7514.671875,21942878958
2019-10-24,7509.72802734375,7532.86767578125,7446.98876953125,7493.48876953125,16268708849
2019-10-25,7490.703125,8691.5400390625,7479.984375,8660.7001953125,28705065488
2019-10-26,8667.5771484375,10021.744140625,8662.6220703125,9244.97265625,44496255609
2019-10-27,9241.70703125,9749.529296875,9112.5419921875,9551.71484375,32593129501
2019-10-28,9565.1015625,9805.1181640625,9256.1484375,9256.1484375,30948255332
2019-10-29,9248.4404296875,9516.1806640625,9232.6484375,9427.6875,28426779937
2019-10-30,9422.462890625,9426.8740234375,9085.3701171875,9205.7265625,27706531577
2019-10-31,9202.4580078125,9383.1611328125,9028.7177734375,9199.5849609375,26583653947
2019-11-01,9193.9921875,9275.6572265625,9132.0478515625,9261.1044921875,24324691031
2019-11-02,9259.783203125,9377.486328125,9249.587890625,9324.7177734375,21242676385
2019-11-03,9324.787109375,9379.806640625,9141.251953125,9235.3544921875,21132220847
2019-11-04,9235.607421875,9505.0517578125,9191.4853515625,9412.6123046875,26170255634
2019-11-05,9413.0048828125,9457.41796875,9256.931640625,9342.52734375,26198609048
2019-11-06,9340.8642578125,9423.2373046875,9305.9091796875,9360.8798828125,23133895765
2019-11-07,9352.3935546875,9368.4765625,9202.353515625,9267.5615234375,22700383839
2019-11-08,9265.3681640625,9272.759765625,8775.5341796875,8804.880859375,24333037836
2019-11-09,8809.46875,8891.818359375,8793.1630859375,8813.58203125,17578630606
2019-11-10,8812.4892578125,9103.826171875,8806.162109375,9055.5263671875,20587919881
2019-11-11,9056.91796875,9081.279296875,8700.6083984375,8757.7880859375,20265510765
2019-11-12,8759.751953125,8853.7685546875,8685.427734375,8815.662109375,20309769107
2019-11-13,8812.033203125,8836.841796875,8761.6513671875,8808.2626953125,17545755405
2019-11-14,8811.9365234375,8826.943359375,8692.5517578125,8708.0947265625,19084739975
2019-11-15,8705.7080078125,8730.873046875,8484.84375,8491.9921875,21796856471
2019-11-16,8491.166015625,8591.9970703125,8473.9736328125,8550.7607421875,16495389808
2019-11-17,8549.470703125,8727.7890625,8500.9677734375,8577.9755859375,18668638897
