,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-03-16,5385.2294921875,6844.26171875,4575.35791015625,5830.2548828125,309907233901,0.0016840000171214342,0.0019310000352561474,0.0014530000044032931,0.0017310000257566571,1106711863,124.9961166381836,150.8538055419922,105.17144012451172,123.32115173339844,101229181040
2020-03-23,5831.37451171875,6892.51123046875,5785.00439453125,5922.04296875,272468247401,0.0017269999952986836,0.0019120000069960952,0.0016919999616220593,0.0017229999648407102,1162434070,123.36598205566406,141.9485321044922,121.86788177490234,125.58373260498047,87056124995
2020-03-30,5925.53857421875,7088.24755859375,5903.234375,6791.12939453125,259568096070,0.0017229999648407102,0.0019399999873712659,0.0017170000355690718,0.0018649999983608723,1123267583,125.57789611816406,146.89987182617188,125.28968048095703,143.54664611816406,87098050994
2020-04-06,6788.0498046875,7427.939453125,6782.8896484375,6971.091796875,274123270580,0.0018660000059753656,0.0020439999643713236,0.0018520000157877803,0.001990000018849969,982179818,143.60821533203125,175.20413208007812,143.5446014404297,161.14242553710938,121920291111
2020-04-13,6965.61669921875,7280.52197265625,6555.50439453125,7189.4248046875,215559694708,0.001990000018849969,0.0020729999523609877,0.0018860000418499112,0.0020580000709742308,1046821744,160.72067260742188,188.0989227294922,150.3594207763672,181.61495971679688,107577023560
2020-04-20,7186.87353515625,7700.59423828125,6834.4423828125,7679.8671875,247735013853,0.0020580000709742308,0.002443999983370304,0.0019519999623298645,0.00240899994969368,1403354513,181.480224609375,199.344970703125,170.32127380371094,197.31753540039062,130380747534
2020-04-27,7679.4189453125,9440.650390625,7679.4189453125,8897.46875,327820350244,0.002409999957308173,0.0026889999862760305,0.002308000111952424,0.0025100000202655792,1942399789,197.47572326660156,227.52969360351562,193.45416259765625,210.9331512451172,150920674315
2020-05-04,8895.7451171875,9996.7431640625,8395.107421875,8756.4306640625,361023995652,0.0025110000278800726,0.0026779999025166035,0.002360000042244792,0.0024590000975877047,1920752091,210.89085388183594,216.3276824951172,182.71116638183594,188.5995635986328,150152686073
2020-05-11,8755.53515625,9823.001953125,8374.3232421875,9670.7392578125,325655447393,0.002457000082358718,0.0026229999493807554,0.0023380001075565815,0.00253800000064075,1864453008,188.63218688964844,209.1609344482422,180.7183380126953,207.15869140625,120611336121
2020-05-18,9675.6953125,9906.0302734375,8787.2509765625,8790.3681640625,247011272897,0.0025369999930262566,0.0025869999080896378,0.002423000056296587,0.0024580000899732113,1439258934,207.17977905273438,215.90846252441406,193.346435546875,202.37034606933594,92336624901
2020-05-25,8786.107421875,9704.0302734375,8719.66796875,9461.05859375,221372861711,0.0024560000747442245,0.0026259999722242355,0.0024349999148398638,0.0025549998972564936,1395934683,201.98265075683594,244.04525756835938,200.2642822265625,230.9757080078125,82946409011
