,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-02-15,1804.6767578125,1833.83056640625,1683.9066162109375,1779.791015625,38955610883,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166,0.06256800144910812,0.06392399966716766,0.04854699969291687,0.05659100040793419,4944804938
2021-02-16,1778.945556640625,1824.5186767578125,1729.6419677734375,1781.0675048828125,34269369268,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886,0.056487999856472015,0.05966800078749657,0.0509830005466938,0.05352000147104263,3409478696
2021-02-17,1781.35009765625,1853.6676025390625,1736.705810546875,1848.458251953125,35955412703,49207.27734375,52533.9140625,49072.37890625,52149.0078125,80820545404,0.05352199822664261,0.054983001202344894,0.048034001141786575,0.049375999718904495,2976148723
2021-02-18,1848.206298828125,1949.9034423828125,1848.206298828125,1937.44921875,28255902969,52140.97265625,52474.10546875,51015.765625,51679.796875,52054723579,0.04936299845576286,0.061799000948667526,0.04898900166153908,0.0595409981906414,4551943638
2021-02-19,1938.85986328125,1969.5469970703125,1896.6844482421875,1960.164794921875,26268814253,51675.98046875,56113.65234375,50937.27734375,55888.1328125,63495496918,0.05943400040268898,0.05949699878692627,0.054315000772476196,0.055139001458883286,2949251418
2021-02-20,1959.9029541015625,2036.2864990234375,1830.531494140625,1919.5340576171875,34696091102,55887.3359375,57505.2265625,54626.55859375,56099.51953125,68145460026,0.055132001638412476,0.06028600037097931,0.051628001034259796,0.05438400059938431,3175468554
2021-02-21,1918.673095703125,1974.2596435546875,1890.3681640625,1935.60107421875,23626547717,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,0.0543689988553524,0.058428000658750534,0.05355599895119667,0.055980000644922256,2450293068
2021-02-22,1935.557861328125,1936.4537353515625,1580.6265869140625,1781.992919921875,42409646036,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332,0.05604400113224983,0.06046599894762039,0.047095999121665955,0.053725000470876694,3366757324
2021-02-23,1781.4090576171875,1781.4090576171875,1378.8409423828125,1570.2039794921875,52029864713,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824,0.05369799956679344,0.05376800149679184,0.042410001158714294,0.04739199951291084,2394345361
2021-02-24,1571.4764404296875,1710.9837646484375,1511.0189208984375,1626.57568359375,31329000537,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388,0.04741400107741356,0.05987299978733063,0.046215999871492386,0.05655499920248985,4148511571
2021-02-25,1625.3939208984375,1670.22412109375,1465.0589599609375,1475.7037353515625,24481681873,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949,0.05661499872803688,0.05780800059437752,0.049869000911712646,0.05016700178384781,2356982022
2021-02-26,1478.6533203125,1559.0289306640625,1407.979248046875,1446.03369140625,31435997881,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479,0.05013800039887428,0.05247199907898903,0.0487079992890358,0.05048000067472458,1694323466
